dateObserved,temperature,relativeHumidity
2025-03-27T01:47Z,25.192265,36.175938
2025-03-27T01:57Z,25.17624,36.193104
2025-03-27T02:07Z,25.152208,36.269398
2025-03-27T02:17Z,25.114824,36.24651
2025-03-27T02:27Z,25.06676,36.315174
2025-03-27T02:37Z,25.050735,36.315174
2025-03-27T02:47Z,25.034714,36.343784
2025-03-27T02:57Z,24.973297,36.376213
2025-03-27T03:07Z,24.973297,36.38575
2025-03-27T03:17Z,24.941254,36.40673
2025-03-27T03:27Z,24.893187,36.42962
2025-03-27T03:37Z,24.861143,36.462044
2025-03-27T03:47Z,24.83711,36.50782
2025-03-27T03:57Z,24.83711,36.553596
2025-03-27T04:07Z,24.789043,36.570763
2025-03-27T04:17Z,24.783703,36.620354
2025-03-27T04:27Z,24.757,36.627987
2025-03-27T04:37Z,24.722286,36.64706
2025-03-27T04:47Z,24.711605,36.63371
2025-03-27T04:57Z,24.6849,36.69856
2025-03-27T05:07Z,24.67956,36.710003
2025-03-27T05:17Z,24.663538,36.79202
2025-03-27T05:27Z,24.623484,36.872128
2025-03-27T05:37Z,24.634165,37.015182
2025-03-27T05:47Z,24.687572,37.287937
2025-03-27T05:57Z,24.740978,37.646526
2025-03-27T06:27Z,24.973297,38.08522
2025-03-27T06:37Z,25.064089,38.008926
2025-03-27T06:47Z,25.1709,37.938354
2025-03-27T06:57Z,25.218967,37.88304
2025-03-27T07:27Z,25.371176,37.602654
2025-03-27T07:37Z,25.40856,37.57595
2025-03-27T07:47Z,25.381857,36.09964
2025-03-27T07:57Z,25.267033,34.163654
2025-03-27T08:07Z,25.144197,35.458763
2025-03-27T08:27Z,25.0,36.713818
2025-03-27T08:37Z,25.021362,37.0457
2025-03-27T08:47Z,25.029373,37.2002
2025-03-27T08:57Z,25.104143,37.305103
2025-03-27T09:07Z,25.0721,37.45388
2025-03-27T09:37Z,25.40589,37.06096
2025-03-27T09:47Z,25.432592,36.982758
2025-03-27T09:57Z,25.544746,36.86259
2025-03-27T10:07Z,25.576792,36.793926
2025-03-27T10:17Z,25.592813,36.782482
2025-03-27T10:27Z,25.638208,36.7615
2025-03-27T10:37Z,25.670252,36.729076
2025-03-27T10:47Z,25.686274,36.66804
2025-03-27T10:48Z,25.686274,36.66804
2025-03-27T10:57Z,25.680933,36.5803
2025-03-27T11:07Z,25.718319,36.53071
2025-03-27T11:17Z,25.699627,36.538338
2025-03-27T11:27Z,25.710308,36.542152
2025-03-27T11:37Z,25.72633,36.53643
2025-03-27T11:47Z,25.737011,36.582207
2025-03-27T11:57Z,25.72099,36.610817
2025-03-27T12:07Z,25.745022,36.61463
2025-03-27T12:17Z,25.729,36.60128
2025-03-27T12:27Z,25.750362,36.561226
2025-03-27T12:37Z,25.766384,36.55741
2025-03-27T12:47Z,25.755703,36.47921
2025-03-27T12:57Z,25.758373,36.389565
2025-03-27T13:07Z,25.785076,36.380028
2025-03-27T13:17Z,25.795757,36.416267
2025-03-27T13:27Z,25.801098,36.397194
2025-03-27T13:37Z,25.801098,36.381935
2025-03-27T13:47Z,25.814451,36.376213
2025-03-27T13:57Z,25.835814,36.36858
2025-03-27T14:07Z,25.825132,36.372395
2025-03-27T14:17Z,25.862516,36.328526
2025-03-27T14:27Z,25.867857,36.301823
2025-03-27T14:37Z,25.838484,36.338062
